ID,Category,Category Description,Product Name,Description,Size,Price,Photo File Name,WhatsApp Link
16,Cooking Oils & Ghee,,A2 Bilona Cow Ghee,"Hand churned A2 bilona cow ghee, made the traditional way from cultured curd rather than cream. Grainy texture and a deep roasted aroma.",1000 ml,3000,A2-Bilona-Cow-Ghee,https://wa.me/p/9614005988713986/919820175000
15,Hair & Skin Care,"Cold pressed carrier oils and single ingredient skincare, with nothing added and nothing refined out. Suitable for hair oiling, scalp massage and everyday skin care.",Castor Cold Pressed Oil,"Thick, cold pressed castor oil. Traditionally used for hair growth, lashes, brows and dry skin.",100 ml,250,Castor-Cold-Pressed-Oil,https://wa.me/919820175000
21,Hair & Skin Care,,Argan Oil,"Lightweight argan oil rich in vitamin E. Absorbs quickly, used for frizz control and facial hydration.",50 ml,340,Argan-Oil,https://wa.me/919820175000
22,Hair & Skin Care,,Cold Pressed Amla Oil,"Amla (Indian gooseberry) oil, cold pressed. A classic remedy for scalp health and premature greying.",100 ml,289,Amla-Oil,https://wa.me/919820175000
23,Hair & Skin Care,,Cold Pressed Black Seed Oil,"Kalonji oil, cold pressed and unrefined. Valued in traditional medicine for immunity, skin and hair.",100 ml,340,Black-Seed-Oil,https://wa.me/919820175000
24,Hair & Skin Care,,Cold Pressed Neem Oil,"Pure neem oil with its characteristic sharp aroma. Used for acne prone skin, scalp care and as a natural pest deterrent.",100 ml,120,Neem-Oil,https://wa.me/919820175000
25,Hair & Skin Care,,Cold Pressed Flax Seed Oil,"Alsi oil, cold pressed to protect its omega 3 content. Use raw, never heated.",100 ml,150,Flax-Seed-Oil,https://wa.me/919820175000
26,Hair & Skin Care,,Steam Distilled Rose Water,Pure steam distilled rose water with no added fragrance or preservative. A natural toner and face mist.,100 ml,220,Steam-Distilled-Rose-Water,https://wa.me/919820175000
27,Hair & Skin Care,,Fuller's Earth (Multani Mitti),Natural multani mitti clay. A time tested face pack for oily skin and gentle deep cleansing.,90 gms,199,Fuller's-Earth,https://wa.me/919820175000
28,Hair & Skin Care,,Aloevera Gel,"Soothing aloe vera gel for sunburn, irritation and daily hydration. Light and non sticky.",100 gms,180,Aloevera-Gel,https://wa.me/919820175000
17,Essential Oils,"Concentrated steam distilled essential oils for aromatherapy, diffusers and diluted topical use. Always blend with a carrier oil before applying to skin.",Rosemary Essential Oil,"Steam distilled rosemary oil, popular for scalp massage and hair thinning when diluted in a carrier oil.",15 ml,180,Rosemary-Essential-Oil,https://wa.me/919820175000
18,Essential Oils,,Lemon Essential Oil,"Bright, citrus lemon essential oil. Uplifting in a diffuser and a natural cleaning booster.",15 ml,140,Lemon-Essential-Oil,https://wa.me/919820175000
19,Essential Oils,,Eucalyptus Essential Oil,"Sharp, cooling eucalyptus oil. Commonly used in steam inhalation and for congestion relief.",15 ml,140,Eucalyptus-Essential-Oil,https://wa.me/919820175000
20,Essential Oils,,Tea Tree Essential Oil,"Tea tree oil with natural antibacterial properties. Used on blemishes and dandruff, always diluted.",15 ml,140,Tea-Tree-Essential-Oil,https://wa.me/919820175000
11,Dry Fruits & Superfoods,"Hand picked Kashmiri dry fruits and superfoods, sourced direct from growers and sold unpolished and unbleached.",Kashmiri Mamra Almonds (Organic),"Genuine Kashmiri mamra badam. Smaller and oilier than commercial almonds, with a much richer taste.",1 kg,1640,Kashmiri-Mamra-Almonds-(Organic),https://wa.me/919820175000
12,Dry Fruits & Superfoods,,Kashmiri Walnut Kernels (Organic),"Light coloured Kashmiri akhrot kernels, hand shelled and unbleached.",1 kg,1540,Kashmiri-Walnut-Kernels-(Organic),https://wa.me/919820175000
13,Dry Fruits & Superfoods,,Cranberries,"Naturally tart dried cranberries. Good in trail mixes, baking and breakfast bowls.",1 kg,1100,Cranberries,https://wa.me/919820175000
14,Dry Fruits & Superfoods,,Kashmiri Organic Saffron,Pure Kashmiri Mongra saffron with deep red threads and a strong natural aroma. No colouring added.,1 gm,350,Kashmiri-Organic-Saffron,https://wa.me/919820175000
